# Function names for SCES_502.40 (Extermination, PAL), identified by behaviour.
# address	name	comment
# --- SDK (libcdvd, libdma, libvu0, libc), by what they do and how they are called
0x00111c28	sceCdSearchFile	fills a sceCdlFILE from a path; used for INDEX/DATA/overlays/movies
0x00112440	sceCdRead	lsn, sectors, buffer, mode
0x00112d18	sceCdSync	0 blocks, 1 polls
0x00113280	sceCdDiskReady	returns 6 (not ready) on failure
0x00113680	sceCdGetError
0x00102bb0	sceVu0RotMatrixY
0x00102a60	sceVu0RotMatrixZ
# --- game: actors and spawning (session 4)
0x001b0260	ActorAlloc	actor of a class (spawn record +04 low byte)
0x001b03e0	ActorFree
0x001b1590	ActorModelResident	mesh = table[0x35][actor+0x0D]; a2 = animation slot or -1
0x001b1670	ActorModelRoomProp	mesh = table[0x43][actor+0x0D]
0x001b17a0	ActorInitRoomProp
0x001b17f0	ActorInitResident
0x001b6e30	SpawnTable	walks 44-byte spawn records to 0xFFFF, conditions 0-6
0x001b70e0	SpawnRoomActors	0x24E3A0[area] -> room table -> NULL-terminated list of spawn tables
0x001e8110	RoomEnterHook	per (area << 8 | room) call into the overlay
0x0015afb0	BehPickup	pickup: model from 0x43 when (+03 & 0xF) == 1, else 0x35
0x0021a0d0	BehContainer	breakable case (resident model 0x72 in area 00)
0x0015c430	SquadMemberInit	anim set = slot 0x3A, mesh slot 0x38, anim index from 0x249580[+0x235]
# --- game: skeletal animation (session 4)
0x001c6940	MeshBoneCount	object header +08
0x001c6950	AnimFrames
0x001c6ab0	ActorRestPose	bones from the mesh's rest skeleton (object + header[0x0C])
0x001c6b70	ActorUpdateMatrices
0x001c6bd0	ActorSetAnimation	actor+0x2C = index into the set at actor+0x40
0x001c6ce0	ActorAnimStep	advance by a step (1.0 a tick); loop / hold / chain; returns event bits
0x001c6fd0	ActorBlendToAnimation
0x001c8c70	AnimSelect	sets the gp globals to the animation's three key blocks
0x001c8cc0	AnimUnpackRotation	4 x 20-bit floats, << 12
0x001c8dc0	AnimUnpackVector	3 x 26-bit floats, << 6
0x001c8e90	AnimKeySlope
0x001c8f00	AnimSeekAll
0x001c8fb0	AnimAdvance	per bone: next key when the countdown runs out
0x001c9540	AnimBlendStart
0x001c9700	AnimSeekRotation
0x001c98c0	AnimSeekTranslation
0x001c9ab0	AnimSeekScale
0x001c9ca0	ActorBuildMatrix	T * Rz * Ry * Rx * S
0x001c9e00	BonesToWorld	parent chain, rows scaled by the bone's scale
# --- game: VU1 microcode uploads (session 4)
0x001d5590	VuRoomProgram	uploads the room microprogram (DMA 0x237D00)
0x001d42c0	VuSkinProgram	uploads the skinning microprogram (DMA 0x236020)
# --- SDK functions matched by PS2Recomp's embedded SCE signature database
#     (ps2_analyzer, commit 75d729c); it agrees with every SDK name above.
0x001000e0	_dpfle
0x00100130	_dpfge
0x00100158	sceGsResetGraph
0x00100278	sceGsResetPath
0x001002e0	sceGsSetDefDispEnv
0x00100550	sceGsPutDispEnv
0x00100610	sceGszbufaddr
0x001006d8	sceGsSetDefDrawEnv
0x001008c0	sceGsSetDefClear
0x001009c8	sceGsSyncV
0x00100a60	sceGsSyncPath
0x00100d78	sceGsSetDefStoreImage
0x00100eb8	sceGsExecStoreImage
0x00101548	sceGsSyncVCallback
0x00101630	sceGsSetDefDrawEnv2
0x00101898	sceGsSetDefDBuffDc
0x00101b80	memclr
0x00101be0	sceDmaReset
0x00101cd0	sceDmaPutEnv
0x00101ea8	sceDmaGetEnv
0x00101ee0	sceDmaPutStallAddr
0x00101fe0	sceDmaSendN
0x001020c8	sceDmaSendI
0x001021b0	sceDmaRecv
0x00102278	sceDmaRecvN
0x00102368	sceDmaRecvI
0x00102530	sceDmaWatch
0x001026a0	sceVu0ApplyMatrix
0x00102738	sceVu0InnerProduct
0x00102760	sceVu0Normalize
0x00102798	sceVu0TransposeMatrix
0x001027e0	sceVu0InversMatrix
0x00102850	sceVu0DivVector
0x00102870	sceVu0DivVectorXYZ
0x00102890	sceVu0InterVector
0x00102958	sceVu0CopyMatrix
0x001029e8	_sceVu0ecossin
0x00102ca8	sceVu0ClampVector
0x00102cd0	sceVu0CameraMatrix
0x00102d80	sceVu0NormalLightMatrix
0x00102e40	sceVu0LightColorMatrix
0x00102ea8	sceVu0ViewScreenMatrix
0x00102fb0	sceVu0DropShadowMatrix
0x00103140	sceVu0RotTransPersN
0x00103198	sceVu0RotTransPers
0x00103200	sceVu0InterVectorXYZ
0x00103248	sceVu0ClipScreen
0x00103290	sceVu0ClipScreen3
0x001032f0	sceVu0ClipAll
0x00103380	sceVpu0Reset
0x001033e0	_motionComp0
0x00103718	_getAllRefs
0x00103dc8	_getRef0
0x001041e8	_doMC
0x00104378	_rix_000
0x001043f0	_ri0_000
0x00104488	_rix_001
0x00104540	_ri0_001
0x00104610	_rix_010
0x001046c0	_ri0_010
0x00104778	_rix_011
0x00104870	_ri0_011
0x00104970	_rix_100
0x00104a18	_ri0_100
0x00104ac8	_rix_101
0x00104bb0	_ri0_101
0x00104c98	_rix_110
0x00104d78	_ri0_110
0x00104e48	_rix_111
0x00104f70	_ri0_111
0x00105088	_copyAddRefImage
0x001050e8	_copyRefImage
0x00105148	_ipuSetMPEG1
0x00105170	_waitBdecOut
0x00105390	_dualPrimeVector
0x00105518	_mbAddressIncrement
0x00105628	_pictureData0
0x00105750	_sliceA0
0x00105878	_slice0
0x00105a78	_skipMB0
0x00105b48	_decMB0
0x001060f8	_motionVectors
0x00106278	_motionVector
0x001063b8	_sendIpuCommand
0x001063e8	_waitIpuIdle
0x00106490	_waitIpuIdle64
0x00106540	_ipuVdec
0x001066f8	_peepBit
0x00106830	_flushBuf
0x00106948	_nextBit
0x00106ab0	_nextStartCode
0x00106b18	_sliceB
0x00106b88	_nextHeader
0x00106cb0	_pictureHeader
0x00106d80	_extensionAndUserData
0x00106e30	_pictureCodingExtension
0x00107060	_extrainfo
0x00107098	_updateTempTackData
0x00107178	_groupOfPicturesHeader
0x00107260	_quantMatrixExtension
0x00107310	_pictureDisplayExtension
0x00107400	_copyrightExtension
0x001074b0	_decPicture
0x00107590	_outputFrame
0x00107648	_updateRefImage
0x00107a28	_isOutSizeOK
0x00107ac8	_cpr8
0x00107cb8	_markOutput
0x00107cf0	_getPtsDtsFlags
0x00107e88	_dispRefImage
0x00107fa0	_dispRefImageField
0x00108160	_doCSC
0x00108248	_ch3dmaCSC
0x00108300	_doCSC2
0x001084b0	_csc_storeRefImage
0x00108608	_sysbitInit
0x00108660	_sysbitFlush
0x001086f8	_sysbitGet
0x00108748	_sysbitMarker
0x00108790	_sysbitJump
0x001087e8	_sysbitPtr
0x00108818	_type2id
0x00108aa0	sceMpegDemuxPssRing
0x00108db0	sceMpegAddStrCallback
0x00108ea8	_pack_header
0x00108ff8	_system_header
0x00109068	_PES_packet
0x001095f0	sceMpegInit
0x00109698	sceMpegCreate
0x001098e0	sceMpegAddBs
0x00109918	sceMpegGetPicture
0x00109960	sceMpegGetPictureRAW8
0x001099a8	sceMpegGetPictureRAW8xy
0x00109a10	sceMpegGetDecodeMode
0x00109a50	sceMpegReset
0x00109a90	sceMpegClearRefBuff
0x00109af8	sceMpegAddCallback
0x00109b20	_dispatchMpegCallback
0x00109b70	_dispatchMpegCbNodata
0x00109c78	_alalcAlloc
0x00109cf8	_getpic
0x00109e68	_decodeOrSkipFrame
0x00109f90	_decodeOrSkip
0x00109fd0	_decodeOrSkipField
0x0010a140	_sceMpegFlush
0x0010a1c0	_lastFrame
0x0010a248	_clearOnce
0x0010a298	_clearEach
0x0010a378	_Error1
0x0010a3a8	_Error
0x0010a400	_sendDataToIPU
0x0010a4d8	_RefImageInit
0x0010a4f8	_sequenceHeader
0x0010a650	_initSeq
0x0010a998	_initRefImages
0x0010aa80	_setDefaultQM
0x0010ab40	_sequenceExtension
0x0010aca8	_sequenceDisplayExtension
0x0010ada8	sceIpuStopDMA
0x0010af28	sceIpuRestartDMA
0x0010b0f8	sceIpuSync
0x0010b160	sceIpuInit
0x0010bc90	VSync
0x0010bcd0	VSync2
0x0010bd30	write
0x0010bdb0	read
0x0010be68	sbrk
0x0010bf38	kill
0x0010bfb0	putnum
0x0010c020	_sceSDC
0x0010c158	_sceIDC
0x0010c430	SetAlarm
0x0010c5c8	topThread
0x0010c710	iWakeupThread
0x0010c788	iRotateThreadReadyQueue
0x0010c7e8	sceDeci2Open
0x0010c830	sceDeci2Close
0x0010c858	sceDeci2ReqSend
0x0010c888	sceDeci2Poll
0x0010c8b0	sceDeci2ExRecv
0x0010c8e8	sceDeci2ExSend
0x0010c920	sceDeci2ExReqSend
0x0010c950	sceDeci2ExLock
0x0010c978	sceDeci2ExUnLock
0x0010c9a0	kputs
0x0010c9f0	QueuePeekWriteDone
0x0010ca30	QueuePeekReadDone
0x0010ca70	sceTtyHandler
0x0010cc08	sceTtyWrite
0x0010cd58	sceTtyRead
0x0010ce28	sceTtyInit
0x0010cee8	kputchar
0x0010cf20	deci2Putchar
0x0010cfd0	serialPutchar
0x0010d008	ftoi
0x0010d098	itof
0x0010d160	printfloat
0x0010d2c8	_printf
0x0010d890	kprintf
0x0010d8c8	scePrintf
0x0010d9a0	sceSifInitCmd
0x0010dc40	sceSifExitCmd
0x0010dca8	sceSifAddCmdHandler
0x0010dcd8	sceSifRemoveCmdHandler
0x0010dd00	_sceSifSendCmd
0x0010de38	sceSifSendCmd
0x0010de78	isceSifSendCmd
0x0010deb8	_sceSifCmdIntrHdlr
0x0010dfd8	sceSifWriteBackDCache
0x0010e088	sceSifInitRpc
0x0010e270	_sceRpcGetPacket
0x0010e338	_sceRpcGetFPacket
0x0010e368	_sceRpcGetFPacket2
0x0010e3a8	_request_end
0x0010e460	_request_rdata
0x0010e4c0	sceSifGetOtherData
0x0010e5f8	_search_svdata
0x0010e648	_request_bind
0x0010e6f8	sceSifBindRpc
0x0010e818	_request_call
0x0010e8a8	sceSifCallRpc
0x0010ea60	sceSifCheckStatRpc
0x0010eaa0	sceSifSetRpcQueue
0x0010eb30	sceSifRegisterRpc
0x0010ebc0	sceSifRemoveRpc
0x0010ec40	sceSifRemoveRpcQueue
0x0010ecc8	sceSifGetNextRequest
0x0010ed18	sceSifExecRequest
0x0010eef8	sceSifRpcLoop
0x0010ef38	new_iob
0x0010efa8	get_iob
0x0010efd0	sceFsInit
0x0010f140	sceFsReset
0x0010f178	sceOpen
0x0010f2f8	sceClose
0x0010f3b0	sceLseek
0x0010f490	fs_read_intr
0x0010f520	sceRead
0x0010f650	sceWrite
0x0010f7d8	sceIoctl
0x0010f870	sceSifInitIopHeap
0x0010f8f8	sceSifAllocIopHeap
0x0010f9e0	sceSifLoadIopHeap
0x0010fad0	_lf_bind
0x0010fc00	sceSifLoadFileReset
0x0010fc38	sceSifLoadModuleBuffer
0x0010fe28	_sceSifLoadModule
0x00110048	_sceSifLoadElfPart
0x00110170	sceSifLoadElf
0x00110198	sceSifGetIopAddr
0x00110288	sceSifSetIopAddr
0x00110368	sceSifResetIop
0x00110498	sceSifIsAliveIop
0x001104c0	sceSifSyncIop
0x00110508	sceSifRebootIop
0x00110608	_send_to_iop
0x00110690	scePadInit
0x001107c8	scePadInit2
0x00110868	scePadEnd
0x001108e8	scePadPortOpen
0x00110a40	scePadPortClose
0x00110ab8	scePadGetDmaStr
0x00110b38	scePadRead
0x00110b80	scePadGetState
0x00110bc0	scePadStateIntToStr
0x00110bf8	scePadSetReqState
0x00110c80	scePadInfoAct
0x00110d70	scePadInfoComb
0x00110e58	scePadInfoMode
0x00110f60	scePadSetMainMode
0x00111018	scePadSetActDirect
0x001110b0	scePadSetActAlign
0x00111188	scePadGetButtonMask
0x001111f8	scePadSetButtonInfo
0x001112a8	scePadInfoPressMode
0x00111318	scePadSetVrefParam
0x001113e8	scePadGetPortMax
0x00111450	scePadGetSlotMax
0x001114b8	scePadGetModVersion
0x00111520	scePadChangeThreadPriority
0x00111590	sceCdCallback
0x001115d0	cd_callback
0x00111680	_Cdvd_cbLoop
0x00111740	sceCdInitEeCB
0x001118b8	cmd_sem_init
0x00111950	cdvd_exit
0x001119b8	sceCdIntToPos
0x00111a80	sceCdPosToInt
0x00111ae0	PowerOffCB
0x00112088	sceCdNcmdDiskReady
0x00112120	sceCdGetReadPos
0x00112150	sceCdReadChain
0x00112610	sceCdReadIOPm
0x00112758	sceCdGetToc
0x001129e8	sceCdSeek
0x00112ad0	sceCdStandby
0x00112b90	sceCdStop
0x00112c58	sceCdPause
0x00112dc0	sceCdSyncS
0x00112f98	sceCdInit
0x00113478	sceCdBreak
0x00113530	sceCdGetDiskType
0x001135c8	sceCdStatus
0x00113718	_sceCdRI
0x001137f0	_sceCdRM
0x001138d8	sceCdMmode
0x00113998	sceCdChangeThreadPriority
0x00113a58	sceCdReadClock
0x00113b50	sceCdTrayReq
0x00113c38	sceCdStInit
0x00113c68	sceCdStStart
0x00113ca0	sceCdStSeek
0x00113cd0	sceCdStStop
0x00113d08	sceCdStRead
0x00113e78	sceCdStPause
0x00113ec8	sceCdStResume
0x00113f20	sceCdStStat
0x00113f68	sceCdStream
0x001140c8	sceMcInit
0x00114248	sceMcChangeThreadPriority
0x001142d8	sceMcGetSlotMax
0x00114360	sceMcOpen
0x00114448	sceMcMkdir
0x00114480	sceMcClose
0x00114510	sceMcSeek
0x001145a0	mceIntrReadFixAlign
0x00114630	sceMcRead
0x00114708	sceMcWrite
0x00114848	sceMcSync
0x00114930	mceGetInfoApdx
0x00114988	sceMcGetInfo
0x00114ac0	sceMcGetDir
0x00114ba8	mceStorePwd
0x00114c30	sceMcChdir
0x00114d18	sceMcFormat
0x00114da8	sceMcDelete
0x00114e80	sceMcFlush
0x00114f10	sceMcSetFileInfo
0x00115068	sceMcRename
0x00115168	sceMcUnformat
0x001151f8	sceMcGetEntSpace
0x0011a9f0	sceDevVu0Pause
0x0011aaa0	sceDevVu0PutDBit
0x0011aad0	sceDevVu0PutTBit
0x0011ab20	sceDevVu0Sync
0x0011ab80	sceDevVu0GetCnd
0x0011ac60	sceDevVu0PutCnd
0x0011add0	sceVuCheckBusy
0x0011ae00	sceVu0MemWriteQ
0x0011ae40	sceVu0MemReadQ
0x0011aea0	sceDevVu1Pause
0x0011af50	sceDevVu1PutDBit
0x0011af80	sceDevVu1PutTBit
0x0011afd0	sceDevVu1Sync
0x0011b028	sceDevVu1GetTpc
0x0011b050	sceDevVu1GetCnd
0x0011b1e0	sceDevVu1PutCnd
0x0011b358	sceDevGifContinue
0x0011b390	sceDevGifPutImtMode
0x0011b410	sceDevGifPutP3msk
0x0011b498	sceDevGifSync
0x0011b4c8	sceDevGifGetCnd
0x0011b580	sceDevGifPutFifo
0x0011b5e0	sceDevVif0Reset
0x0011b608	sceDevVif0Pause
0x0011b670	sceDevVif0Continue
0x0011b6b0	sceDevVif0PutErr
0x0011b6e0	sceDevVif0Sync
0x0011b730	sceDevVif0GetCnd
0x0011b8b0	sceDevVif0PutFifo
0x0011b910	sceDevVif1Reset
0x0011b938	sceDevVif1Pause
0x0011b9a0	sceDevVif1Continue
0x0011b9e0	sceDevVif1PutErr
0x0011ba10	sceDevVif1Sync
0x0011ba60	sceDevVif1GetCnd
0x0011bc38	sceDevVif1PutFifo
0x0011bc98	sceDevVif1GetFifo
0x0011bcf8	__ieee754_acosf
0x0011c128	__ieee754_asinf
0x0011c4c8	__ieee754_atan2f
0x0011c7b0	__ieee754_rem_pio2f
0x0011cb90	__ieee754_sqrtf
0x0011ccc8	__kernel_cosf
0x0011ce20	__kernel_rem_pio2f
0x0011d770	__kernel_sinf
0x0011d878	__kernel_tanf
0x0011db90	matherr
0x0011dbb8	atanf
0x0011de90	cosf
0x0011df98	floorf
0x0011e2a8	sinf
0x0011e398	tanf
0x0011e620	atan2f
0x0011e748	sqrtf
0x0011e878	_calloc_r
0x0011e938	_close_r
0x0011e990	quorem
0x0011eba8	_dtoa_r
0x0011fd88	fflush
0x0011fe90	std
0x0011fee8	__sfmoreglue
0x0011ff58	__sfp
0x00120058	__sinit
0x001200e8	_free_r
0x00120408	_malloc_trim_r
0x001205d8	__sfvwrite
0x001209b0	_fwalk
0x00120a48	_setlocale_r
0x00120b98	__smakebuf
0x00120ce8	malloc_extend_top
0x00120f40	_malloc_r
0x001216b8	_mbtowc_r
0x001216f8	memchr
0x001217d8	memcmp
0x00121870	memcpy
0x00121920	memmove
0x00121af8	_Balloc
0x00121ba0	_Bfree
0x00121bd0	_multadd
0x00121ce8	_s2b
0x00121e30	_hi0bits
0x00121eb8	_lo0bits
0x00121f78	_i2b
0x00121fb0	_multiply
0x001221e0	_pow5mult
0x001222e0	_lshift
0x00122458	__mcmp
0x001224c0	__mdiff
0x00122650	_ulp
0x001226e8	_b2d
0x00122868	_d2b
0x001229e8	_ratio
0x00122aa8	_mprec_log10
0x00122b18	_printf_r
0x00122c48	_sbrk_r
0x00122ca8	_sprintf_r
0x00122d10	sprintf
0x00122d80	__sread
0x00122de8	__swrite
0x00122e68	__sseek
0x00122ef0	strcat
0x00123020	strcmp
0x00123168	strcpy
0x00123280	strcspn
0x00123418	strncpy
0x001235d8	__sprint
0x00123620	__sbprintf
0x00123750	_vfprintf_r
0x00124c68	cvt
0x00124e18	exponent
0x00124f58	__swsetup
0x00125068	__divdi3
0x00125758	__fixunsdfdi
0x00125848	__floatdidf
0x001258e0	__moddi3
0x00125f48	__muldi3
0x00125fa8	__udivdi3
0x00126578	__umoddi3
0x00126ab8	__pack_d
0x00126be8	__unpack_d
0x00126c88	_fpadd_parts
0x00126ec8	dpadd
0x00126f20	dpsub
0x00126f88	dpmul
0x00127230	dpdiv
0x00127398	__fpcmp_parts_d
0x001274b0	dpcmp
0x00127500	litodp
0x001275b8	dptoli
0x00127650	dptoul
0x001276f0	__negdf2
0x00127728	__make_dp
0x00127758	dptofp
0x001277b0	__pack_f
0x001278c0	__unpack_f
0x00127950	_fpadd_parts
0x00127b88	fpadd
0x00127be0	fpsub
0x00127c48	fpmul
0x00127e40	fpdiv
0x00127fa0	__fpcmp_parts_f
0x001280b8	fpcmp
0x00128108	sitofp
0x001281c0	fptosi
0x00128250	fptoui
0x001282e8	__negsf2
0x00128320	__make_fp
0x00128350	fptodp
